iter	Passed	Remaining
0	114	114027
1	114	57270
2	115	38331
3	115	28860
4	116	23180
5	117	19385
6	117	16675
7	118	14647
8	118	13062
9	119	11793
10	119	10755
11	120	9890
12	120	9158
13	121	8530
14	121	7986
15	122	7511
16	122	7094
17	123	6731
18	124	6407
19	124	6107
20	125	5833
21	125	5585
22	126	5358
23	126	5149
24	127	4959
25	127	4781
26	128	4618
27	128	4469
28	129	4335
29	130	4231
30	131	4107
31	131	3989
32	132	3879
33	132	3775
34	133	3677
35	133	3585
36	134	3497
37	134	3414
38	135	3338
39	136	3264
40	137	3220
41	138	3154
42	138	3088
43	139	3026
44	139	2966
45	140	2908
46	140	2854
47	141	2802
48	142	2756
49	142	2709
50	143	2663
51	143	2624
52	144	2581
53	144	2539
54	145	2499
55	145	2460
56	146	2422
57	146	2386
58	147	2357
59	148	2325
60	148	2292
61	149	2261
62	150	2231
63	150	2201
64	151	2173
65	151	2145
66	152	2120
67	152	2094
68	153	2068
69	153	2045
70	154	2022
71	155	2000
72	155	1978
73	156	1956
74	156	1934
75	157	1913
76	157	1892
77	158	1871
78	158	1851
79	159	1832
80	160	1815
81	160	1798
82	160	1777
83	161	1760
84	161	1742
85	162	1726
86	162	1709
87	163	1693
88	163	1677
89	164	1661
90	164	1646
91	165	1631
92	165	1617
93	166	1606
94	167	1592
95	167	1579
96	168	1565
97	168	1552
98	169	1539
99	169	1527
100	170	1515
101	170	1502
102	171	1490
103	171	1479
104	172	1467
105	172	1457
106	173	1446
107	173	1435
108	174	1427
109	175	1417
110	175	1407
111	176	1397
112	176	1387
113	177	1377
114	177	1368
115	178	1358
116	178	1348
117	179	1340
118	179	1330
119	180	1321
120	180	1313
121	181	1304
122	181	1295
123	182	1287
124	182	1278
125	183	1270
126	183	1262
127	184	1254
128	184	1248
129	185	1242
130	186	1235
131	186	1227
132	187	1220
133	187	1213
134	188	1205
135	188	1199
136	189	1194
137	190	1187
138	190	1180
139	191	1173
140	191	1168
141	192	1160
142	192	1154
143	193	1147
144	193	1141
145	194	1135
146	194	1129
147	195	1123
148	195	1118
149	196	1112
150	196	1106
151	197	1100
152	197	1095
153	198	1090
154	199	1084
155	199	1079
156	200	1073
157	200	1068
158	201	1063
159	201	1057
160	201	1051
161	202	1046
162	202	1041
163	203	1036
164	203	1031
165	204	1027
